Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
A1,1,Infinity,-Infinity,Infinity
B1,2,-Infinity,-Infinity,Infinity
E1,3,-21,-Infinity,Infinity
B1,2,-21,-21,Infinity
A2,3,-31,-21,Infinity
B1,2,-21,-21,Infinity
B2,3,-39,-21,Infinity
B1,2,-21,-21,Infinity
A3,3,-23,-21,Infinity
B1,2,-21,-21,Infinity
B3,3,-3,-21,Infinity
B1,2,-3,-3,Infinity
C3,3,-38,-3,Infinity
B1,2,-3,-3,Infinity
E3,3,-34,-3,Infinity
B1,2,-3,-3,Infinity
A4,3,-31,-3,Infinity
B1,2,-3,-3,Infinity
B4,3,-39,-3,Infinity
B1,2,-3,-3,Infinity
E4,3,-49,-3,Infinity
B1,2,-3,-3,Infinity
A5,3,-26,-3,Infinity
B1,2,-3,-3,Infinity
B5,3,-21,-3,Infinity
B1,2,-3,-3,Infinity
C5,3,-28,-3,Infinity
B1,2,-3,-3,Infinity
D5,3,-30,-3,Infinity
B1,2,-3,-3,Infinity
E5,3,-41,-3,Infinity
B1,2,-3,-3,Infinity
A1,1,-3,-Infinity,-3
E1,2,-Infinity,-Infinity,-3
B1,3,-7,-Infinity,-3
E1,2,-7,-7,-3
A2,3,-5,-7,-3
E1,2,-5,-5,-3
B2,3,-13,-5,-3
E1,2,-5,-5,-3
A3,3,3,-5,-3
E1,2,3,-5,-3
A1,1,-3,-Infinity,-3
A2,2,-Infinity,-Infinity,-3
B1,3,3,-Infinity,-3
A2,2,3,-Infinity,-3
A1,1,-3,-Infinity,-3
B2,2,-Infinity,-Infinity,-3
B1,3,35,-Infinity,-3
B2,2,35,-Infinity,-3
A1,1,-3,-Infinity,-3
A3,2,-Infinity,-Infinity,-3
B1,3,-5,-Infinity,-3
A3,2,-5,-5,-3
E1,3,7,-5,-3
A3,2,7,-5,-3
A1,1,-3,-Infinity,-3
B3,2,-Infinity,-Infinity,-3
B1,3,-25,-Infinity,-3
B3,2,-25,-25,-3
E1,3,-13,-25,-3
B3,2,-13,-13,-3
A2,3,-23,-13,-3
B3,2,-13,-13,-3
B2,3,-31,-13,-3
B3,2,-13,-13,-3
A3,3,-15,-13,-3
B3,2,-13,-13,-3
C3,3,66,-13,-3
B3,2,66,-13,-3
A1,1,-3,-Infinity,-3
C3,2,-Infinity,-Infinity,-3
B1,3,-8,-Infinity,-3
C3,2,-8,-8,-3
E1,3,4,-8,-3
C3,2,4,-8,-3
A1,1,-3,-Infinity,-3
E3,2,-Infinity,-Infinity,-3
B1,3,20,-Infinity,-3
E3,2,20,-Infinity,-3
A1,1,-3,-Infinity,-3
A4,2,-Infinity,-Infinity,-3
B1,3,3,-Infinity,-3
A4,2,3,-Infinity,-3
A1,1,-3,-Infinity,-3
B4,2,-Infinity,-Infinity,-3
B1,3,11,-Infinity,-3
B4,2,11,-Infinity,-3
A1,1,-3,-Infinity,-3
E4,2,-Infinity,-Infinity,-3
B1,3,21,-Infinity,-3
E4,2,21,-Infinity,-3
A1,1,-3,-Infinity,-3
A5,2,-Infinity,-Infinity,-3
B1,3,-2,-Infinity,-3
A5,2,-2,-Infinity,-3
A1,1,-3,-Infinity,-3
B5,2,-Infinity,-Infinity,-3
B1,3,-7,-Infinity,-3
B5,2,-7,-7,-3
E1,3,5,-7,-3
B5,2,5,-7,-3
A1,1,-3,-Infinity,-3
C5,2,-Infinity,-Infinity,-3
B1,3,0,-Infinity,-3
C5,2,0,-Infinity,-3
A1,1,-3,-Infinity,-3
D5,2,-Infinity,-Infinity,-3
B1,3,2,-Infinity,-3
D5,2,2,-Infinity,-3
A1,1,-3,-Infinity,-3
E5,2,-Infinity,-Infinity,-3
B1,3,13,-Infinity,-3
E5,2,13,-Infinity,-3
A1,1,-3,-Infinity,-3
root,0,-3,-3,Infinity
B1,1,Infinity,-3,Infinity
A1,2,-Infinity,-3,Infinity
E1,3,11,-3,Infinity
A1,2,11,11,Infinity
A2,3,1,11,Infinity
A1,2,11,11,Infinity
B2,3,-3,11,Infinity
A1,2,11,11,Infinity
A3,3,9,11,Infinity
A1,2,11,11,Infinity
B3,3,29,11,Infinity
A1,2,29,29,Infinity
C3,3,-6,29,Infinity
A1,2,29,29,Infinity
E3,3,-2,29,Infinity
A1,2,29,29,Infinity
A4,3,1,29,Infinity
A1,2,29,29,Infinity
B4,3,-7,29,Infinity
A1,2,29,29,Infinity
E4,3,-17,29,Infinity
A1,2,29,29,Infinity
A5,3,6,29,Infinity
A1,2,29,29,Infinity
B5,3,11,29,Infinity
A1,2,29,29,Infinity
C5,3,4,29,Infinity
A1,2,29,29,Infinity
D5,3,2,29,Infinity
A1,2,29,29,Infinity
E5,3,-9,29,Infinity
A1,2,29,29,Infinity
B1,1,29,-3,29
E1,2,-Infinity,-3,29
A1,3,-9,-3,29
E1,2,-9,-3,29
A2,3,-9,-3,29
E1,2,-9,-3,29
B2,3,-13,-3,29
E1,2,-9,-3,29
A3,3,-1,-3,29
E1,2,-1,-1,29
B3,3,19,-1,29
E1,2,19,19,29
C3,3,-16,19,29
E1,2,19,19,29
E3,3,-12,19,29
E1,2,19,19,29
A4,3,-9,19,29
E1,2,19,19,29
B4,3,-17,19,29
E1,2,19,19,29
E4,3,-27,19,29
E1,2,19,19,29
A5,3,-4,19,29
E1,2,19,19,29
B5,3,1,19,29
E1,2,19,19,29
C5,3,-6,19,29
E1,2,19,19,29
D5,3,-8,19,29
E1,2,19,19,29
E5,3,-19,19,29
E1,2,19,19,29
B1,1,19,-3,19
A2,2,-Infinity,-3,19
A1,3,41,-3,19
A2,2,41,-3,19
B1,1,19,-3,19
B2,2,-Infinity,-3,19
A1,3,-23,-3,19
B2,2,-23,-3,19
E1,3,-13,-3,19
B2,2,-13,-3,19
A2,3,-23,-3,19
B2,2,-13,-3,19
A3,3,-15,-3,19
B2,2,-13,-3,19
B3,3,5,-3,19
B2,2,5,5,19
C3,3,-30,5,19
B2,2,5,5,19
E3,3,-26,5,19
B2,2,5,5,19
A4,3,-23,5,19
B2,2,5,5,19
B4,3,-31,5,19
B2,2,5,5,19
E4,3,-41,5,19
B2,2,5,5,19
A5,3,-18,5,19
B2,2,5,5,19
B5,3,-13,5,19
B2,2,5,5,19
C5,3,-20,5,19
B2,2,5,5,19
D5,3,-22,5,19
B2,2,5,5,19
E5,3,-33,5,19
B2,2,5,5,19
B1,1,5,-3,5
A3,2,-Infinity,-3,5
A1,3,-7,-3,5
A3,2,-7,-3,5
E1,3,3,-3,5
A3,2,3,3,5
A2,3,-7,3,5
A3,2,3,3,5
B2,3,-11,3,5
A3,2,3,3,5
B3,3,21,3,5
